160	50	f
163	45	f
175	60	f
165	60	f
164	50	f
165	64	f
175	65	f
175	70	m
172	62	m
176	57	m
166	55	f
161	48	f
175	60	m
182	75	m
170	55	m
163	64	f
167	50	f
168	57	m
166	55	f
168	50	f
170	52	f
176	90	m
186	78	m
165	54	f
175	61	m
160	90	f
167	50	f
178	75	m
161	44	f
174	74	m
165	60	f
170	60	m
167	55	f
179	71	m
156	58	f
160	40	f
166	52	f
176	76	m
163	50	f
163	50	f
168	52.5	f
183	82	m
181	69	m
161	47.5	f
165	63	m
166	54	f
170	54	f
160	53	f
178	64	m
188	68	m
182	70	m
162.5	53	f
175	65	m
160	52	f
187	73	m
158.7	43	f
164	50	f
180	75	m
163	47	f
173	65	m
170	57.5	f
167	49	f
