1. 性别	2. 年龄	3. 身高(cm)	4. 体重（kg)	5. 您所在的省份：	6. 儿时生活地区	小学入睡	小学起床	中学入睡	中学起床	大学入睡	大学起床	小学入睡	小学起床	中学入睡	中学起床	大学入睡	大学起床	第11题(无偏好)	第11题(淡)	第11题(咸)	第11题(辣)	第11题(甜)	12. 是否喜欢动物类食物	Y3. 是否经常食用水果	14. 主食类型	Y5. 是否经常喝牛奶—小学阶段	中学阶段	大学阶段
47	2	21	170	54	上海	2	20	6	22	7	9	22	20	6	22	7	9	22	0	0	1	0	1	4	N	3	N	N	N
48	2	23	160	53	上海	3	20	6	22	7	9	23	20	6	22	7	9	23	1	0	0	0	0	2	N	1	N	N	N
49	1	20	178	64	北京	3	21	7	22	7	7	23	21	7	22	7	7	23	1	0	0	0	0	4	Y	1	Y	Y	Y
50	1	20	188	68	上海	3	20	6	21	6	8	23	20	6	21	6	8	23	0	1	1	0	1	4	Y	1	Y	Y	Y
51	1	22	182	70	山东	2	19	7	22	7	8	22	19	7	22	7	8	22	1	0	0	0	0	4	Y	2	Y	Y	N
52	2	22	162.5	53	上海	3	19	7	20	6	8	22	19	7	20	6	8	22	0	1	0	0	1	3	Y	1	Y	N	Y
53	1	21	175	65	山东	2	21	6	22	6	8	23	21	6	22	6	8	23	0	0	1	0	1	4	Y	1	Y	Y	Y
54	2	19	160	52	上海	3	19	7	22	6	7	23	19	7	22	6	7	23	0	1	0	0	1	4	Y	3	N	N	N
55	1	20	187	73	北京	3	21	6	22	6	8	23	21	6	22	6	8	23	1	0	0	0	0	2	Y	1	Y	Y	N
56	2	20	158.7	43	北京	2	19	7	22	7	7	23	19	7	22	7	7	23	0	1	0	0	1	2	Y	1	Y	Y	N
57	2	20	164	50	山东	2	19	6	22	6	7	23	19	6	22	6	7	23	0	0	0	1	0	2	Y	2	Y	N	N
58	1	18	180	75	天津	1	20	6	21	7	9	23	20	6	21	7	9	23	0	1	0	0	0	4	N	2	Y	Y	Y
59	2	25	163	47	安徽	1	20	7	21	6	7	22	20	7	21	6	7	22	1	0	0	0	0	1	Y	2	N	Y	Y
60	1	25	173	65	安徽	1	19	6	21	6	7	24	19	6	21	6	7	24	0	0	0	1	0	2	N	2	N	N	N
61	2	20	170	57.5	山东	2	20	7	22	7	7	23	20	7	22	7	7	23	0	0	0	0	1	3	Y	1	Y	Y	Y
62	2	21	167	49	上海	2	19	6	20	6	8	22	19	6	20	6	8	22	0	1	0	0	1	4	Y	1	Y	Y	Y
